name,address,pname,cityname,adname,adcode,lon_gcj02,lat_gcj02,typecode,大类,中类,小类,lon_wgs84,lat_wgs84
西安交通大学医学院第一附属医院停车场(朱雀大街南段),雁塔西路277号,陕西省,西安市,雁塔区,610113,108.937973,34.219364,150904,交通设施服务,停车场,公共停车场,108.93333203,34.22097397
陕西省肿瘤医院停车场(含光路南段),雁塔西路301附近,陕西省,西安市,雁塔区,610113,108.93338,34.21899,150904,交通设施服务,停车场,公共停车场,108.92875028,34.22060702
停车场(朱雀路环岛),朱雀大街南段附近,陕西省,西安市,雁塔区,610113,108.940514,34.227833,150904,交通设施服务,停车场,公共停车场,108.93586569,34.22943571
西安市汽车站(人民南巷),丰庆路13号,陕西省,西安市,莲湖区,610104,108.920792,34.25182,150400,交通设施服务,长途汽车站,长途汽车站,108.91618471,34.25343911
大雁塔北广场(公交站),盛唐之旅;环山2号线;环山旅游1号线;曲江公交旅游环线,陕西省,西安市,雁塔区,610113,108.966103,34.221489,150700,交通设施服务,公交车站,公交车站相关,108.9613721,34.22303849
西安站,环城北路44号,陕西省,西安市,新城区,610102,108.962807,34.277157,150200,交通设施服务,火车站,火车站,108.95808369,34.27869332
停车场(明珠路),自强西路278附近,陕西省,西安市,莲湖区,610104,108.925514,34.280113,150904,交通设施服务,停车场,公共停车场,108.92089601,34.28171613
政协大酒店南侧停车场,建国路11附近,陕西省,西安市,碑林区,610103,108.967072,34.253052,150904,交通设施服务,停车场,公共停车场,108.96233487,34.25458719
停车场(太乙立交),二环南路东段辅路附近,陕西省,西安市,碑林区,610103,108.969978,34.233612,150904,交通设施服务,停车场,公共停车场,108.96523137,34.23514691
停车场(马坊门),竹笆市,陕西省,西安市,碑林区,610103,108.943291,34.257523,150904,交通设施服务,停车场,公共停车场,108.93863264,34.25910956
停车场(长安路立交),长安北路12附近,陕西省,西安市,碑林区,610103,108.945267,34.232407,150904,交通设施服务,停车场,公共停车场,108.94060502,34.23399948
停车场,丰禾路27附近,陕西省,西安市,莲湖区,610104,108.914543,34.28075,150904,交通设施服务,停车场,公共停车场,108.90994265,34.28236189
停车场(小寨西路),小寨西路91附近,陕西省,西安市,雁塔区,610113,108.939438,34.22308,150904,交通设施服务,停车场,公共停车场,108.93479293,34.22468625
停车场,永松路141附近,陕西省,西安市,雁塔区,610113,108.927139,34.229107,150904,交通设施服务,停车场,公共停车场,108.92252195,34.23072833
亮宝楼停车场,芙蓉东路121附近,陕西省,西安市,雁塔区,610113,108.971275,34.217331,150904,交通设施服务,停车场,公共停车场,108.96652468,34.21886832
停车场(虹桥路),咸宁西路附近,陕西省,西安市,碑林区,610103,108.986343,34.251217,150904,交通设施服务,停车场,公共停车场,108.98152853,34.25269886
停车场(朱雀路环岛),二环南路西段40附近,陕西省,西安市,碑林区,610103,108.940651,34.231216,150904,交通设施服务,停车场,公共停车场,108.93600205,34.23281724
